"Id","cateId","picB","name","describe","price"
"DYAF13-A9007Z1GM","DYAF13","000001_1489735402.jpg","2 in 1 bamboo charging base Apple Watch+iPhone charging stand / mobile phone holder","2 in 1 bamboo charging base Apple Watch+iPhone charging stand / mobile phone holder for iPhone7/7plus/6S/6S Plus/6/6 Plus/5 birthday gift  mobile phone + Apple watch watch charging base has a small and lightweight features   suitable for the office, home   easy to charge the apple watch",399
"DYAJDR-19009JGT8","DYAJDT","000001_1555383734.jpg","Apple iPhone Xs Max (256G)-Gold (MT552TA/A)","Gold send glass to protect Apple iPhone Xs Max (256G) - gold  market price $ 45500. Special offer 4 $41999  Buy now the province $3501 iphone xs max screen The diagonal length is 6.46 . The actual viewable area may be small. Related Note Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The item is registered and begins to calculate the product warranty time, and the warranty date of the item is calculated after registration and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees.",41999
"DYAJDN-A9009N87T","DYAJDN","000001_1555379017.jpg","Apple iPhone XR (64G) - Red (MRY62TA/A)","Daily strongmad kill sale  red  send wireless charging board Apple iPhone XR (64G) - red  only one day  limited time mad The display has a rounded corner design. When measuring in a rectangular shape, the diagonal length of the iphone xr screen is 6.06 . The actual viewable area may be small. The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. Because this product is a special 3c product, the product is registered and started after the product is connected to the Internet (including wifi), login to the apple id or linked to itunes. Calculate the warranty period of the product, and the warranty date of the product will be calculated after registration, and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period.",25288
"DYAJ8H-A9008TS5F","DYAJ8I","000001_1546576470.jpg","Welfare Products - Apple iPhone 7 128GB","Welfare Products  Limited Edition Apple iPhone 7 128Ga10 Chip Processor
1200 million pixels main camera
700 million pixels front lens  waterproof Dust-proof level
touch id Fingerprint identification",11900
"DYAJCX-A9009UFV0","DYAJ9Y","000001_1554781348.jpg","Apple iPhone 8 (64G) - Space Gray","Space Gray  mad down $1501 Apple iPhone 8 (64G)  market price $ 21500. Special offer 1999 $19999
 now buy the current province $1501
 limited special kill ~ any return price ~! ! 

 4.7 retina hd monitor with true tone
 Full glass and aluminum metal body design
 Anti-splash water and dust proof function
 12 million pixels Camera with optical image stabilization (ois)
 4k film shooting (up to 60 fps)
 7 megapixel facetime hd camera
 touch id for secure authentication and apple pay
 a11 bionic smart phone chip
 wireless charging (can be used with qi charger)

iphone8 Featured accessories:
iphone original protection Shell
 iphone 8 Protector

Legal Notice
 1. Charging board sold separately. 
2. Both the iphone 8 and the iphone 8 plus are flood- and water-repellent and have been tested under controlled laboratory conditions to achieve the i ip67 rating. The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. 
Do not charge your wet iphone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3. The display size is the diagonal length. 
4.facetime Both parties need to use the facetime function device
 to connect with wi-fi. The application of the mobile network depends on the carrier's solution; data services may be subject to payment. 


Related note
  Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The item is registered and begins to calculate the product warranty time, and the warranty date of the item is calculated after registration and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",19999
"DYAJDN-A9009H4QZ","DYAJDN","000001_1554948610.jpg","Apple iPhone XR (64G) - Black (MRY42TA/A)","Black  send premium accessories group Apple iPhone XR (64G) - black   send wireless charging board + shell stickers   6.1  liquid retina display (lcd)    ip67 level Anti-splash and water-proof function (up to 30 minutes in the deepest 1 meter water)
 12 megapixel camera (with optical image stabilization) and 7 megapixel original deep sensing front camera, both With portrait mode, portrait light, depth of field control and smart hdr function
 face id, for secure authentication and apple pay 
 a12 bionic, with a new generation of neural network engine
 wireless Charging (can be used with qi charger)
 ios 12 with memoji, screen usage time, siri shortcut and group facetime function

============ ==============

iphone xrshell
iphone xr 
============================================================================================= For rectangular measurements, the iphone xr screen has a diagonal length of 6.06 . The actual viewable area may be small. 
2.iphone xr is water and dust proof and has been tested in controlled laboratory environment to achieve ipk 60529 ip67 rating (up to 30 minutes in the deepest 1 meter water) . The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3.apple pay is not available in all markets. See www.apple.com tw ios feature-availability #apple-pay
 See a list of countries or regions where apple pay is available. 
4.qi Wireless charger sold separately. 
5. The group facetime feature will be available on iOS 12 via software update later this year. 

Related Note
  Because this product is a special 3c product, the product is registered and started after the product is connected to the Internet (including wifi), login to the apple id or linked to itunes. Calculate the warranty period of the product, and the warranty date of the product will be calculated after registration, and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",25888
"DYAJDG-A9009N8Q2","DYAJDG","000001_1553652419.jpg","Apple iPhone Xs (256G)","Gray l silver  limited time to spend $ 2501 Apple iPhone Xs (256G)  market price $ 41500. Special offer 38 $38999
 Buy now save $2501
 limited special kill ~ any return price ~! ! 

 5.8  super retina display (oled) with hdr
 ip68 level dustproof and anti-splashing function (up to 30 minutes in the deepest 2 meters water) 12 megapixel dual lens camera (with optical image stabilization dual lens) and 7 megapixel original deep sensing front camera with portrait mode, portrait light, depth of field control and smart hdr function
face Id, for security authentication and apple pay
 a12 bionic, with a new generation of neural network engine
 wireless charging (can be used with qi charger)
 ios 12, with memoji, screen Use time, siri shortcuts and group facetime functions

Legal Notices

1. The display has a rounded corner design. When measuring in a rectangle, the diagonal length of the iphone xs screen is 5.85. The actual viewable area may be small. 
2. iphone xs is water- and water-repellent and has been tested in controlled laboratory environment to achieve ibp 60529 ip68 rating (up to 30 minutes in the deepest 2 meters of water) . The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3. Apple pay is not available in all markets. 
 See www.apple.com tw ios feature-availability #apple-pay See a list of countries or regions where apple pay is available. 
4. qi Wireless charger sold separately. 
5. The group facetime feature will be available in iOS 12 via software update later this year. 


 Related Note 
  Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The item is registered and begins to calculate the product warranty time, and the warranty date of the item is calculated after registration and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",38999
"DYAJDF-A9009EQNF","DYAJDF","000001_1553479796.jpg","Apple iPhone Xs (64G) - Gold (MT9G2TA/A)","Gold  send glass to protect Apple iPhone Xs (64G) - gold  market price $ 35900. Special offer 340 $34099
 Buy now save the province $1801
 limited plus code to send glass stickers! ! 

 5.8  super retina display (oled) with hdr
 ip68 level dustproof and anti-splashing function (up to 30 minutes in the deepest 2 meters water) 12 megapixel dual lens camera (with optical image stabilization dual lens) and 7 megapixel original deep sensing front camera with portrait mode, portrait light, depth of field control and smart hdr function
face Id, for security authentication and apple pay
 a12 bionic, with a new generation of neural network engine
 wireless charging (can be used with qi charger)
 ios 12, with memoji, screen Use time, siri shortcuts and group facetime functions

================================= I bought iphone xs accessories
 iphone xs shell
 iphone xs stickers
================== ========


Legal Notices

1. The monitor has a rounded corner design. When measuring in a rectangle, the diagonal length of the iphone xs screen is 5.85 . The actual viewable area may be small. 
2. iphone xs is water- and water-repellent and has been tested in controlled laboratory environment to achieve ibp 60529 ip68 rating (up to 30 minutes in the deepest 2 meters of water) . The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3. Apple pay is not available in all markets. 
 See www.apple.com tw ios feature-availability #apple-pay See a list of countries or regions where apple pay is available. 
4. qi Wireless charger sold separately. 
5. The group facetime feature will be available in iOS 12 via software update later this year. 


 Related Note 
  Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The item is registered and begins to calculate the product warranty time, and the warranty date of the item is calculated after registration and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",34099
"DYAJ2N-A9009PUGA","DYAJ2N","000001_1546938527.jpg","[welfare] Apple iPhone 8 plus 64GB","90% New Original Boxed+Original AccessoriesApple iPhone 8 plus 64G5.5 ips Touch Screen
a11 bionic Processor
Double 12 million Isight lens
front camera 7 million pixels
support touch id fingerprint identification",19900
"DYAJ93-A900929I2","DYAJ93","000001_1554691189.jpg","Apple iPhone X (256G) - Space Gray","Space gray  send premium accessories group Apple iPhone X (256G)   send mfi transmission line + shell + security stickers   5.8  super retina hd display with hdr and true tone
  All-glass and stainless steel body design
 Anti-splash and water-proof function
 12 million dual-lens camera with optical image stabilization
 Portrait mode, portrait light and 4k film shooting Function (up to 60 fps)
 7 megapixel truedepth front camera
face id for secure authentication and apple pay
 a11 bionic smart phone chip
 wireless Charging (can be used with qi charger)

iphone x
 iphone original protective case
iphone x multi-category stickers

 Legal Notice
 1.iphone x The display has a rounded corner design. When measuring in a rectangular manner, the diagonal length of the screen is 5.85 . The actual viewable area may be small. 
2. The charging board is sold separately. 
3.iphone x is water- and water-repellent and has been tested in laboratory environment with controlled tubes to an ip67 rating of the iec 60529 standard. The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iphone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
4. Portrait Light is available in beta. 

 Related Note
  Because this product is a special 3c product, this product is registered after the product is connected to the Internet (including wifi), login to the apple id or linked to itunes. And start to calculate the product warranty time, and after the registration, the warranty date of this product begins to calculate, can not be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",31999
"DYAJDR-19009JGT1","DYAJDT","000001_1554948220.jpg","Apple iPhone Xs Max (256G) - Silver (MT542TA/A)","Silver  send glass protector Apple iPhone Xs Max (256G)  market price $ 45500. Special offer 4 $41999
 Buy now the province $3501
 limited special kill ~ any return price ~! ! 

 6.5  super retina display (oled) with hdr
 ip68 level dustproof and anti-splash water resistance (up to 30 minutes in the deepest 2 meters water) 12 megapixel dual lens camera (with optical image stabilization dual lens) and 7 megapixel original deep sensing front camera with portrait mode, portrait light, depth of field control and smart hdr function
face Id, for security authentication and apple pay
 a12 bionic, with a new generation of neural network engine
 wireless charging (can be used with qi charger)
 ios 12, with memoji, screen Use time, siri shortcuts and group facetime functions

================================= I bought iphone xs max accessories
 iphone xs max shell
 iphone xs max stickers
=============== ===========


Legal Notices
1. The display is rounded and the diagonal of the iphone xs max screen is measured in rectangular dimensions. The length is 6.46 . The actual viewable area may be small. 
2. iphone xs max is water- and water-repellent and has been tested in controlled laboratory environment to achieve ibp 60529 ip68 rating (up to 30 minutes in the deepest 2 meters of water) ). The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iphone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3. Apple pay is not available in all markets. 
 See www.apple.com tw ios feature-availability #apple-pay 
 See a list of countries or regions where apple pay is available. 
4. qi Wireless charger sold separately. 
5. The group facetime feature will be available in iOS 12 via software update later this year. 


 Related Note 
  Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The item is registered and begins to calculate the product warranty time, and the warranty date of the item is calculated after registration and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",41999
"DYAJ21-A9009PPL9","DYAJ21","000001_1547024213.jpg","Apple iPhone 6s (32G) 2018 Edition","Gold l rose gold  send shell + security stickers Apple iPhone 6S 4.7  32G 2018 version   64 bit architecture a9 chip   embedded m9 motion sensing coprocessor  
  4.7  3d touch retinahd monitor   ios10 operating system    new 12 million pixel camera f 2.2 aperture    built-in fingerprint identity sensor  above information content There are errors, mainly based on official information! 

<Notes>
apple products are special. After connecting to the online login account or connecting to the system software, they are registered and start to calculate the product warranty time, which cannot be restored. 
 When returning the goods in the future, if the goods have been opened for warranty, additional fees may apply. 
Please take a video when receiving the product to protect your rights, and do not rush to unpack, first confirm that the model color is correct. 
 Do not connect this item to the Internet if you have any concerns about the product, and avoid inadvertently starting the warranty time. 
 If you advocate the 7-day appreciation period, please restore the original product ( including packaging, accessories, manuals, etc., and you can return the goods after you can re-sell the goods, otherwise you will charge 10% of the original price of the original product; Once the product is registered, additional fees will be charged.",9790
"DYAJ9Y-A9008F4S4","DYAJ9Y","000001_1554890673.jpg","Apple iPhone 8 (64G) - Gold","Golden  limited time to spend $1501 Apple iPhone 8 (64G)  market price $ 21500. Special offer 1999 $19999
 now buy the current province $1501
 limited special kill ~ any return price ~! ! 

 4.7 retina hd monitor with true tone
 Full glass and aluminum metal body design
 Anti-splash water and dust proof function
 12 million pixels Camera with optical image stabilization (ois)
 4k film shooting (up to 60 fps)
 7 megapixel facetime hd camera
 touch id for secure authentication and apple pay
 a11 bionic smart phone chip
 wireless charging (can be used with qi charger)

iphone8 Featured accessories:
iphone original protection Shell
 iphone 8 Protector

Legal Notice
 1. Charging board sold separately. 
2. Both the iphone 8 and the iphone 8 plus are flood- and water-repellent and have been tested under controlled laboratory conditions to achieve the i ip67 rating. The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. 
Do not charge your wet iphone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3. The display size is the diagonal length. 
4.facetime Both parties need to use the facetime function device
 to connect with wi-fi. The application of the mobile network depends on the carrier's solution; data services may be subject to payment. 


Related note
  Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The product is registered and begins to calculate the warranty period
, and the warranty date of the product is calculated after registration, and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",19999
"DYAJDN-A9009N878","DYAJDN","000001_1555379070.jpg","Apple iPhone XR (64G)-White (MRY52TA/A)","White  send wireless charging board Apple iPhone XR (64G) - white  only one day  limited time mad 
 start: 04/16 (Tuesday) 10:00 
 end: 04 /17 (Wednesday) 10:00
 market price $26900. Limited time price 25$25288

 6.1 liquid retina display (lcd)
 ip67 grade anti-splash water and dustproof function (up to 30 minutes in the deepest 1 meter water)
 12 megapixel camera (with optical image stabilization) and 7 megapixel original deep sensing front camera with portrait mode, portrait light, depth of field control and smart hdr function
 face id For security certification and apple pay 
 a12 bionic, with a new generation of neural network engine
 wireless charging (can be used with qi charger)
 ios 12, with memoji, screen use Time, siri shortcut and group facetime function

 curator Xiaoyan: the most cost-effective purchase of stored value ~
4 month stored value promotion, please click me

 ============================================================================================================ r
 iphone xr security
============================================================ 
1. The display has a rounded corner design. When measuring in a rectangular shape, the diagonal length of the iphone xr screen is 6.06 . The actual viewable area may be small. 
2.iphone xr is water and dust proof and has been tested in controlled laboratory environment to achieve ipk 60529 ip67 rating (up to 30 minutes in the deepest 1 meter water) . The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3.apple pay is not available in all markets. See www.apple.com tw ios feature-availability #apple-pay
 See a list of countries or regions where apple pay is available. 
4.qi Wireless charger sold separately. 
5. The group facetime feature will be available on iOS 12 via software update later this year. 

Related Note
  Because this product is a special 3c product, the product is registered and started after the product is connected to the Internet (including wifi), login to the apple id or linked to itunes. Calculate the warranty period of the product, and the warranty date of the product will be calculated after registration, and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",25288
"DGCD1E-A90084KAA","DGCD1E","000001_1555399157.jpg","SanDisk iXpand Mini Drive 64GB (Company) iPhone / iPad Applicable","SanDisk iXpand Mini flash drive 64GB (company) iPhone / iPad for  designed for ios devices
Easily and quickly release iphone, ipad storage space
usb 3.0 High speed transmission 
ixpand mobile app, easy to manage photos and videos
company goods, the first choice is guaranteed


 There are other capacities available here: 32gb 128gb 


 curator Xiao Yan: the most cost-effective purchase of stored value ~
4 month stored value promotion activities, please click me
 
4 Bank discounts are required to log in
Bank credit card activities Please click on the picture to learn more",999
"DYAJDO-A9009H4RQ","DYAJDO","000001_1551924378.jpg","Apple iPhone XR (128G)-White (MRYD2TA/A)","White  kill and send transmission line Apple iPhone XR (128G) - white  market price $ 28900. Special offer 27 $27288
 now buy the current province $1612
 limited special kill ~ any return price ~! ! 

 6.1 liquid retina display (lcd)
 ip67 Level anti-splash water and dust resistance (up to 30 minutes in the deepest 1 meter water)
 1200 Megapixel camera (with optical image stabilization) and 7 megapixel original deep sensing front camera with portrait mode, portrait light, depth of field control and smart hdr function
 face id for safety certification With apple pay 
 a12 bionic, with a new generation of neural network engine
 wireless charging (can be used with qi charger)
 ios 12, with memoji, screen usage time, siri shortcut and Group facetime function

========================================================================= 
iphone xr shell
iphone xr stickers
========================= ==

Legal Notice
1. The display has a rounded corner design. When measuring in rectangular shape, the diagonal length of the iphone xr screen is 6.06 . The actual viewable area may be small. 
2.iphone xr is water and dust proof and has been tested in controlled laboratory environment to achieve ipk 60529 ip67 rating (up to 30 minutes in the deepest 1 meter water) . The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3.apple pay is not available in all markets. See www.apple.com tw ios feature-availability #apple-pay
 See a list of countries or regions where apple pay is available. 
4.qi Wireless charger sold separately. 
5. The group facetime feature will be available on iOS 12 via software update later this year. 

Related Note
  Because this product is a special 3c product, the product is registered and started after the product is connected to the Internet (including wifi), login to the apple id or linked to itunes. Calculate the warranty period of the product, and the warranty date of the product will be calculated after registration, and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",27288
"DYAJDO-19009LXPW","DYAJDO","000001_1554688741.jpg","Apple iPhone XR (128G)-Red (MRYE2TA/A)","Red  kill and send transmission line Apple iPhone XR (128G) - red  market price $ 28900. Special offer 27 $27288
 now buy the current province $1612
 limited special kill ~ any return price ~! ! 

 6.1 liquid retina display (lcd)
 ip67 Level anti-splash water and dust resistance (up to 30 minutes in the deepest 1 meter water)
 1200 Megapixel camera (with optical image stabilization) and 7 megapixel original deep sensing front camera with portrait mode, portrait light, depth of field control and smart hdr function
 face id for safety certification With apple pay 
 a12 bionic, with a new generation of neural network engine
 wireless charging (can be used with qi charger)
 ios 12, with memoji, screen usage time, siri shortcut and Group facetime function

========================================================================= 
iphone xr shell
iphone xr stickers
========================= ==

Legal Notice
1. The display has a rounded corner design. When measuring in rectangular shape, the diagonal length of the iphone xr screen is 6.06 . The actual viewable area may be small. 
2.iphone xr is water and dust proof and has been tested in controlled laboratory environment to achieve ipk 60529 ip67 rating (up to 30 minutes in the deepest 1 meter water) . The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iPhone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3.apple pay is not available in all markets. See www.apple.com tw ios feature-availability #apple-pay
 See a list of countries or regions where apple pay is available. 
4.qi Wireless charger sold separately. 
5. The group facetime feature will be available on iOS 12 via software update later this year. 

Related Note
  Because this product is a special 3c product, the product is registered and started after the product is connected to the Internet (including wifi), login to the apple id or linked to itunes. Calculate the warranty period of the product, and the warranty date of the product will be calculated after registration, and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",27288
"DYAP00-A9008NDAW","DYAP00","000001_1536049459.jpg","Apple Lightning 8pin 200cm 2M Apple USB Cable / Charging Cable iPhone X / 8 / 7 / 6s Plus","Apple transmission line / charging line Apple Lightning 8Pin iPhone X / 8 / 7 new transmission line 200cm iosapple transmission line new version 200cm iphone x warranty one year
  support the latest system ios11
  support each iphonex iphone8 Plus iphone8 iphone7 6s 5se ipad and so on Apple host
  length 2m (200cm), wire diameter 3mm
  after testing three yards in one 
  simple packaging 
 see other Apple accessories:
apple transmission line 100cm
apple transmission line 200cm
apple adapter
apple transmission line+charger
apple 3.5mm headsetapple lightning earphone
anycast TV stick
Recommendedrival lifetime warranty transmission line:
rival micro usb 20cm
rival micro usb 100cm
rival micro usb 200cm
rival type-c usb 20cm
rival type-c usb 100cm
rival type-c usb 200cm",299
"DYAJA0-A9008F4ZL","DYAJA0","000001_1554691692.jpg","Apple iPhone 8 Plus (64G) - Gold","Gold  send shell + security stickers Apple iPhone 8 Plus (64G)  5.5 retina hd display with true tone
 all glass and aluminum metal body design 
 anti-splash Water and dust proof function
 12 megapixel dual lens camera
 4k movie shooting function (up to 60 fps)
 7 megapixel facetime hd camera
 touch id, with For safety certification and apple pay
 a11 bionic smart phone chip
 wireless charging (can be used with qi charger)

Click me to buy iphone8 plus Featured accessories: 
 iphone original protective case
 iphone 8 plus protection sticker

Legal statement
 1. Charging board sold separately. 
2. Both the iphone 8 and the iphone 8 plus are flood- and water-repellent and have been tested under controlled laboratory conditions to achieve the i ip67 rating. The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. 
Do not charge your wet iphone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
3. The display size is the diagonal length. 
4.facetime Both parties need to use the facetime function device
 to connect with wi-fi. The application of the mobile network depends on the carrier's solution; data services may be subject to payment. 

Related Note
 Because this product is a special 3c product, this product is registered after the product is connected to the Internet (including wifi), login to apple id or link to itunes. And start to calculate the product warranty time, and after the registration, the warranty date of this product begins to calculate, can not be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",24188
"DYAJ2Y-A900929HK","DYAJ2Y","000001_1555294039.jpg","Apple iPhone X (64G) - Space Gray","Space Gray  Send Shell + Glass Sticker Apple iPhone X (64G) 5.8 super retina hd monitor with hdr and true tone
 Full glass and stainless steel body design
  Anti-splash and water-proof function
 12 million dual-lens camera with optical image stabilization
 Portrait mode, portrait light and 4k film shooting function (up to 60 fps)
 700 Megapixel truedepth front camera
 face id for secure authentication and apple pay
 a11 bionic smart phone chip
 wireless charging (can be used with qi charger)
 
iphone original protection shell
iphone x multi-category stickers

 Legal statement
 1.iphone x The display has a rounded corner design. When measuring in a rectangular manner, the diagonal length of the screen is 5.85 . The actual viewable area may be small. 
2. The charging board is sold separately. 
3.iphone x is water- and water-repellent and has been tested in laboratory environment with controlled tubes to an ip67 rating of the iec 60529 standard. The anti-splash and water-repellent functions are non-permanent and may decrease with the wear and tear caused by daily use. Do not charge your wet iphone; refer to the instruction manual for cleaning and drying instructions. Damage caused by liquids is not covered by the warranty. 
4. Portrait Light is available in beta. 


 Related Note 
  Because this product is a special 3c product, after the product is connected to the Internet (including wifi), login to the apple id or link to itunes, this The item is registered and begins to calculate the product warranty time, and the warranty date of the item is calculated after registration and cannot be restored! In the future, when the return is required, the company confirms that if the product has been opened for warranty, additional fees may be required. Do not connect this item to the Internet until you are sure you want to return it, to avoid inadvertently starting the warranty period. If you claim the seven-day appreciation period, please restore the original product ( including packaging, accessories, etc.; once the product is registered, you may need to pay additional fees). You confirm that you have read the above instructions and agree to the order on this page to agree to the terms. Please forgive me for your inconvenience. ",30288
