"pclass","survived","sex","age","sibsp","parch","fare","embarked"
"Lower","No","male",46,0,0,273,"S"
"Lower","No","male",62,0,1,61,"S"
"Upper","Yes","female",33,1,0,164,"C"
"Lower","Yes","male",33,1,0,214,"S"
"Middle","No","male",37,0,0,28,"S"
"Middle","Yes","female",22,1,0,98,"S"
"Upper","No","male",74,0,1,235,"S"
"Lower","No","male",41,0,0,195,"C"
"Middle","No","female",39,1,0,98,"S"
"Upper","No","male",59,0,0,120,"S"
"Lower","No","male",58,0,0,49,"S"
"Lower","Yes","female",17,0,0,195,"C"
"Middle","Yes","female",44,0,0,26,"S"
"Lower","No","male",47,0,0,242,"S"
"Middle","No","male",41,0,0,26,"S"
"Lower","No","female",99,3,2,110,"S"
"Lower","No","male",68,0,0,2,"S"
"Lower","Yes","male",36,0,0,253,"S"
"Lower","No","male",31,0,0,242,"S"
"Middle","No","female",62,1,0,98,"S"
"Lower","No","male",36,0,0,253,"S"
"Lower","No","male",41,0,0,197,"S"
"Middle","No","male",44,0,0,5,"S"
"Upper","Yes","female",67,1,1,239,"C"
"Middle","Yes","female",24,2,1,86,"S"
"Lower","No","male",6,1,1,29,"S"
"Middle","Yes","female",45,0,0,26,"S"
"Middle","Yes","female",33,0,1,98,"S"
"Lower","No","female",57,1,0,271,"S"
"Lower","No","male",26,0,0,222,"S"
"Middle","No","male",26,0,0,12,"S"
"Lower","No","female",20,1,0,65,"S"
"Upper","Yes","male",73,0,0,111,"C"
"Upper","Yes","female",80,2,0,157,"S"
"Lower","No","male",22,0,0,3,"S"
"Middle","Yes","female",39,0,2,86,"S"
"Middle","No","male",34,0,0,5,"S"
"Upper","Yes","female",61,1,0,164,"C"
"Upper","No","male",64,0,0,111,"S"
"Middle","No","male",26,1,0,12,"S"
"Upper","Yes","female",62,0,0,108,"C"
"Middle","No","male",33,1,2,146,"C"
"Lower","Yes","male",44,0,0,227,"S"
"Middle","Yes","male",85,0,0,5,"S"
"Upper","No","male",71,0,1,182,"C"
"Lower","No","male",41,0,0,242,"S"
"Middle","Yes","female",43,0,0,76,"S"
"Lower","No","male",19,0,0,253,"S"
"Upper","Yes","female",73,0,0,107,"C"
"Middle","No","male",26,2,0,230,"S"
"Upper","Yes","male",34,0,0,118,"C"
"Lower","Yes","male",31,0,0,202,"S"
"Lower","No","male",46,1,1,74,"S"
"Upper","No","male",87,0,0,98,"S"
"Middle","No","male",53,1,0,76,"S"
"Middle","Yes","female",31,2,3,67,"S"
"Upper","No","male",87,1,4,105,"S"
"Lower","No","female",15,0,0,222,"S"
"Lower","Yes","female",29,0,0,202,"S"
"Lower","No","male",34,1,0,222,"S"
"Middle","No","male",50,0,0,5,"S"
"Lower","No","male",44,0,0,227,"S"
"Lower","No","male",34,0,0,214,"S"
"Lower","No","male",22,0,0,242,"S"
"Lower","No","female",33,0,0,214,"S"
"Middle","Yes","female",15,1,0,119,"C"
"Middle","No","male",57,0,0,26,"S"
"Lower","No","female",24,1,0,276,"S"
"Lower","No","male",38,0,0,61,"S"
"Upper","Yes","female",31,0,0,153,"C"
"Middle","No","male",20,0,0,230,"S"
"Lower","No","male",67,0,0,222,"S"
"Upper","Yes","male",82,1,1,239,"C"
"Upper","Yes","female",19,1,0,168,"S"
"Lower","No","male",33,0,0,206,"S"
"Upper","Yes","male",37,0,0,103,"S"
"Upper","Yes","female",18,0,1,170,"C"
"Upper","No","female",86,1,0,84,"S"
"Lower","No","male",18,4,1,143,"S"
"Lower","No","female",26,2,2,133,"S"
"Lower","No","female",20,2,0,66,"S"
"Lower","No","male",26,0,0,214,"S"
"Middle","Yes","female",50,0,3,140,"S"
"Middle","No","female",31,0,0,26,"S"
"Lower","Yes","male",7,0,1,270,"S"
"Lower","No","male",50,0,0,200,"S"
"Middle","No","male",41,0,0,26,"S"
"Lower","No","male",27,0,0,242,"S"
"Upper","Yes","female",49,1,0,160,"S"
"Middle","No","male",52,1,0,98,"S"
"Middle","Yes","male",41,0,0,23,"C"
"Lower","Yes","male",44,0,0,204,"S"
"Lower","No","male",25,0,0,197,"S"
"Lower","No","male",39,1,0,190,"S"
"Middle","Yes","male",40,1,1,67,"S"
"Lower","No","male",39,0,0,227,"S"
"Lower","No","male",27,0,0,201,"S"
"Lower","Yes","male",44,0,0,166,"S"
"Lower","Yes","male",36,0,0,217,"S"
"Middle","Yes","female",97,1,1,98,"S"
"Lower","No","male",18,1,3,133,"S"
"Upper","No","male",22,3,2,105,"S"
"Middle","No","male",33,1,0,98,"S"
"Upper","Yes","male",11,1,2,25,"S"
"Lower","No","male",32,0,0,242,"S"
"Middle","No","male",47,1,0,98,"S"
"Lower","No","female",52,0,0,213,"Q"
"Lower","No","male",35,0,0,195,"C"
"Lower","No","male",19,0,0,193,"S"
"Upper","Yes","female",43,0,0,35,"C"
"Upper","Yes","female",71,1,0,236,"S"
"Middle","No","male",70,1,0,98,"S"
"Middle","No","male",41,1,0,89,"C"
"Lower","No","female",59,0,5,143,"S"
"Lower","Yes","male",63,0,0,242,"S"
"Upper","No","male",46,0,0,154,"S"
"Middle","No","male",22,0,0,5,"S"
"Lower","No","male",46,0,0,226,"C"
"Middle","Yes","female",41,0,0,19,"Q"
"Middle","Yes","female",50,0,0,26,"S"
"Middle","Yes","female",56,1,1,86,"S"
"Lower","No","male",27,0,0,242,"S"
"Upper","No","male",65,0,0,239,"C"
"Lower","No","male",22,0,0,206,"S"
"Lower","No","female",67,1,3,133,"S"
"Middle","No","male",43,1,1,99,"S"
"Middle","Yes","female",67,0,2,137,"S"
"Lower","Yes","female",50,0,2,57,"S"
"Upper","No","male",63,0,0,103,"S"
"Upper","Yes","female",39,0,0,79,"S"
"Lower","No","male",26,0,0,227,"S"
"Lower","No","male",57,1,5,124,"S"
"Lower","No","male",83,0,0,1,"S"
"Lower","No","male",46,0,0,252,"S"
"Lower","Yes","female",27,0,0,208,"Q"
"Upper","Yes","male",77,0,0,136,"C"
"Middle","No","male",20,0,0,12,"S"
"Lower","No","female",99,4,2,123,"S"
"Middle","No","female",53,0,0,26,"S"
"Middle","No","male",41,0,0,26,"S"
"Upper","Yes","male",56,0,2,259,"S"
"Middle","Yes","female",22,0,0,98,"S"
"Middle","No","male",74,1,0,98,"S"
"Lower","No","male",34,0,0,226,"S"
"Middle","Yes","female",47,0,1,86,"S"
"Lower","No","male",21,0,0,196,"C"
"Lower","No","male",26,0,0,249,"S"
"Upper","No","male",37,0,0,151,"S"
"Middle","Yes","female",41,1,0,31,"C"
"Lower","No","male",23,4,1,115,"Q"
"Upper","Yes","male",63,1,1,35,"C"
"Middle","No","male",31,0,0,5,"S"
"Lower","No","male",37,2,0,227,"S"
"Lower","Yes","female",56,0,1,27,"C"
"Lower","Yes","male",55,0,1,27,"C"
"Upper","Yes","male",74,1,0,164,"C"
"Lower","No","male",15,5,2,150,"S"
"Upper","No","male",46,0,0,103,"S"
"Upper","Yes","male",36,0,0,234,"C"
"Lower","No","male",18,2,0,66,"S"
"Lower","No","male",66,0,0,266,"S"
"Middle","No","male",26,1,0,12,"S"
"Middle","No","male",70,0,0,26,"S"
"Lower","No","male",91,4,1,115,"Q"
"Lower","No","male",20,0,0,246,"S"
"Middle","Yes","male",40,1,1,98,"S"
"Middle","No","male",74,0,0,98,"S"
"Upper","Yes","male",67,1,0,234,"C"
"Lower","No","female",66,1,0,43,"S"
"Upper","No","male",36,1,0,37,"C"
"Lower","No","male",60,0,1,248,"S"
"Middle","Yes","female",47,1,1,129,"S"
"Upper","Yes","female",82,1,4,105,"S"
"Upper","Yes","female",79,0,1,59,"S"
"Upper","Yes","female",53,1,0,229,"C"
"Upper","Yes","female",74,1,0,171,"C"
"Lower","Yes","male",24,0,0,196,"C"
"Upper","Yes","female",55,0,0,9,"C"
"Upper","No","male",50,0,0,231,"C"
"Upper","Yes","female",43,0,2,63,"S"
"Middle","Yes","female",31,2,1,106,"S"
"Middle","Yes","male",43,0,0,26,"S"
"Middle","No","male",66,0,0,45,"S"
"Lower","Yes","male",39,0,0,213,"Q"
"Middle","No","female",20,1,1,26,"S"
"Lower","No","female",10,5,2,150,"S"
"Lower","Yes","male",40,4,2,124,"S"
"Upper","No","male",31,0,1,91,"C"
"Lower","No","male",58,0,2,43,"S"
"Lower","No","male",37,0,0,226,"S"
"Lower","No","male",26,0,0,218,"S"
"Lower","Yes","female",6,2,1,69,"C"
"Lower","No","female",21,0,0,198,"Q"
"Lower","No","male",43,0,0,213,"Q"
"Upper","Yes","female",72,1,1,282,"S"
"Lower","No","male",29,1,0,33,"S"
"Middle","Yes","female",70,0,0,5,"S"
"Lower","No","female",19,0,0,210,"Q"
"Lower","Yes","female",18,1,1,251,"C"
"Upper","Yes","female",57,0,0,59,"S"
"Middle","Yes","female",29,0,0,30,"C"
"Middle","No","male",27,2,0,125,"S"
"Upper","No","male",75,0,0,155,"S"
"Upper","Yes","female",63,0,1,184,"C"
"Lower","Yes","male",4,0,1,251,"C"
"Middle","Yes","female",24,0,0,137,"S"
"Lower","No","female",40,3,1,77,"S"
"Lower","No","female",42,0,0,213,"Q"
"Upper","No","male",26,0,1,235,"S"
"Lower","Yes","female",9,0,2,54,"C"
"Lower","No","male",34,0,0,214,"S"
"Middle","No","male",49,0,0,5,"S"
"Lower","No","male",24,0,0,253,"S"
"Middle","No","male",33,0,0,26,"S"
"Middle","No","male",67,0,0,26,"S"
"Middle","No","male",60,1,1,129,"S"
"Lower","No","male",41,0,0,196,"C"
"Lower","No","male",55,0,2,196,"C"
"Upper","No","male",65,0,0,239,"C"
"Lower","No","male",26,0,0,213,"Q"
"Upper","Yes","female",82,0,0,233,"C"
"Lower","No","male",18,1,1,73,"S"
"Middle","Yes","male",47,0,0,26,"S"
"Lower","No","female",26,1,0,276,"S"
"Middle","No","male",86,1,0,98,"S"
"Lower","No","male",49,0,0,193,"S"
"Lower","No","male",53,0,0,226,"S"
"Middle","No","male",60,0,0,26,"S"
"Lower","No","female",50,0,2,16,"S"
"Middle","No","male",84,0,0,19,"Q"
"Upper","Yes","female",63,0,1,171,"C"
"Lower","No","female",43,0,0,222,"S"
"Middle","No","male",22,1,1,137,"S"
"Lower","No","male",31,0,0,269,"S"
"Lower","No","male",31,0,0,191,"S"
"Middle","No","male",37,0,0,26,"S"
"Lower","No","male",39,0,0,222,"S"
"Lower","No","male",59,2,0,39,"S"
"Middle","No","male",19,0,0,230,"S"
"Upper","Yes","female",75,2,0,94,"S"
"Lower","No","male",9,4,1,143,"S"
"Middle","No","male",55,0,0,26,"S"
"Upper","Yes","female",26,0,0,236,"S"
"Lower","No","female",16,1,0,41,"C"
"Lower","No","male",50,1,0,52,"S"
"Middle","Yes","male",22,0,0,5,"S"
"Lower","No","male",50,0,0,2,"S"
"Lower","Yes","male",24,1,1,54,"C"
"Lower","No","male",57,1,1,51,"Q"
"Upper","Yes","male",37,0,0,136,"S"
"Middle","No","male",61,0,1,76,"S"
"Lower","No","female",10,0,2,90,"S"
"Upper","No","male",92,1,1,228,"S"
"Middle","Yes","female",69,1,2,109,"S"
"Lower","Yes","female",20,0,0,196,"C"
"Upper","Yes","male",98,0,0,118,"S"
"Lower","No","male",38,0,0,196,"C"
"Middle","No","male",29,0,0,5,"S"
"Upper","Yes","female",50,0,0,104,"C"
"Lower","No","male",42,0,0,242,"S"
"Lower","No","female",26,0,0,213,"Q"
"Upper","Yes","female",63,0,0,104,"C"
"Middle","No","male",47,0,0,26,"S"
"Lower","Yes","male",81,0,1,20,"S"
"Lower","No","male",20,1,0,175,"S"
"Lower","Yes","female",50,1,0,64,"S"
"Lower","No","male",24,0,0,268,"S"
"Lower","Yes","female",27,0,0,213,"Q"
"Upper","Yes","male",57,0,0,122,"C"
"Lower","Yes","female",49,1,1,73,"S"
"Lower","No","female",27,0,0,277,"S"
"Lower","No","male",59,0,0,221,"S"
"Upper","Yes","female",49,0,0,36,"S"
"Lower","Yes","male",39,0,0,226,"C"
"Upper","Yes","female",49,1,0,280,"S"
"Lower","No","male",20,1,1,222,"S"
"Lower","No","female",53,4,2,214,"S"
"Upper","Yes","female",50,0,0,36,"C"
"Middle","Yes","female",37,1,0,98,"S"
"Lower","No","female",37,0,0,214,"S"
"Upper","Yes","female",82,1,0,232,"C"
"Upper","No","male",55,0,0,116,"C"
"Lower","No","male",31,0,0,253,"S"
"Middle","No","male",37,0,0,98,"S"
"Lower","No","female",31,0,0,213,"Q"
"Lower","No","male",37,0,0,226,"S"
"Lower","No","male",19,0,0,253,"S"
"Upper","Yes","male",81,0,2,35,"C"
"Upper","Yes","female",79,0,0,103,"S"
"Lower","No","female",36,1,0,227,"S"
"Middle","Yes","female",19,0,0,15,"C"
"Lower","Yes","female",66,1,0,189,"S"
"Lower","No","female",24,0,0,253,"S"
"Upper","No","male",75,1,0,171,"C"
"Upper","Yes","male",61,1,0,108,"C"
"Lower","No","female",39,0,4,77,"S"
"Lower","No","male",36,1,0,41,"C"
"Upper","No","male",27,0,0,36,"C"
"Middle","Yes","female",97,0,2,99,"S"
"Lower","No","male",34,0,0,226,"S"
"Lower","No","female",55,0,5,115,"Q"
"Lower","No","male",49,0,0,191,"S"
"Lower","No","male",46,0,0,242,"S"
"Lower","No","male",56,4,2,123,"S"
"Lower","No","male",44,0,0,213,"Q"
"Middle","Yes","female",40,1,2,146,"C"
"Upper","Yes","female",27,1,0,186,"S"
"Middle","Yes","female",20,0,1,86,"S"
"Middle","Yes","male",97,0,2,129,"S"
"Lower","No","male",44,0,0,226,"S"
"Lower","No","male",49,0,0,226,"C"
"Middle","No","male",33,0,0,26,"S"
"Upper","Yes","female",27,0,1,171,"C"
"Lower","No","male",19,0,0,253,"S"
"Lower","No","female",43,1,0,66,"S"
"Lower","No","male",81,3,1,77,"S"
"Lower","No","male",59,0,0,193,"S"
"Lower","No","male",61,0,0,242,"S"
"Middle","No","male",50,0,0,24,"C"
"Upper","No","male",38,0,0,108,"C"
"Upper","Yes","male",14,2,2,104,"C"
"Middle","No","male",18,0,0,5,"S"
"Lower","Yes","female",17,1,0,41,"C"
"Upper","No","male",77,0,0,103,"S"
"Middle","Yes","female",57,0,0,26,"S"
"Lower","No","male",29,0,0,226,"S"
"Upper","Yes","female",18,0,0,264,"S"
"Upper","Yes","male",43,1,0,168,"S"
"Lower","No","male",20,0,0,214,"S"
"Middle","Yes","female",74,1,3,86,"S"
"Middle","Yes","female",49,0,0,76,"S"
"Upper","Yes","male",41,1,0,169,"C"
"Lower","Yes","male",43,0,0,227,"S"
"Upper","No","male",37,1,0,260,"C"
"Middle","No","male",45,1,0,119,"C"
"Lower","Yes","male",40,1,1,57,"S"
"Middle","No","male",47,1,0,76,"S"
"Lower","No","male",15,4,1,143,"S"
"Middle","No","female",78,0,0,5,"S"
"Upper","No","male",39,0,0,118,"S"
"Lower","No","male",37,0,0,83,"S"
"Lower","No","male",64,0,0,195,"C"
"Lower","No","male",34,1,2,75,"S"
"Lower","Yes","male",99,1,1,57,"S"
"Middle","Yes","female",50,1,0,98,"S"
"Lower","No","male",26,0,0,210,"Q"
"Lower","Yes","male",55,0,0,227,"S"
"Lower","Yes","male",99,0,2,74,"S"
"Lower","Yes","female",27,0,0,214,"S"
"Lower","No","male",22,0,0,226,"S"
"Lower","No","male",61,0,0,174,"S"
"Lower","No","male",33,0,0,191,"S"
"Upper","No","male",50,1,0,238,"S"
"Upper","No","male",33,0,0,98,"C"
"Upper","No","male",43,1,0,160,"S"
"Middle","Yes","male",24,0,0,32,"C"
"Lower","No","male",54,0,0,197,"S"
"Middle","Yes","female",41,3,0,76,"S"
"Lower","No","male",36,0,0,226,"S"
"Middle","No","male",22,0,0,5,"S"
"Lower","No","female",23,0,1,4,"S"
"Upper","No","female",23,1,2,58,"S"
"Upper","Yes","male",50,0,0,101,"S"
"Lower","Yes","male",20,0,0,242,"S"
"Upper","Yes","female",41,0,0,8,"C"
